,LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Period,Labor Force,Employed,Unemployed,Unemployment Rate (%)
0,CN0100100000000,01,1,"Autauga County, AL",Mar-19,26255,25424,831,3.2
1,CN0100300000000,01,3,"Baldwin County, AL",Mar-19,97617,94468,3149,3.2
2,CN0100500000000,01,5,"Barbour County, AL",Mar-19,8426,8069,357,4.2
3,CN0100700000000,01,7,"Bibb County, AL",Mar-19,8694,8384,310,3.6
4,CN0100900000000,01,9,"Blount County, AL",Mar-19,25331,24538,793,3.1
5,CN0101100000000,01,11,"Bullock County, AL",Mar-19,4800,4628,172,3.6
6,CN0101300000000,01,13,"Butler County, AL",Mar-19,9190,8826,364,4.0
7,CN0101500000000, ,15,"Calhoun County, AL",Mar-19,46300,44442,1858,4.0
8,CN0101700000000,01,17,"Chambers County, AL",Mar-19,15763,15226,537,3.4
9,CN0101900000000,01,19,"Cherokee County, AL",Mar-19,11733,11345,388,3.3
10,CN0102100000000,01,21,"Chilton County, AL",Mar-19,19813,19194,619,3.1
11,CN0102300000000,01,23,"Choctaw County, AL",Mar-19,4905,4668,237,4.8
12,CN0102500000000,01,25,"Clarke County, AL",Mar-19,7640,7183,457,6.0
13,CN0102700000000,01,27,"Clay County, AL",Mar-19,6112,5906,206,3.4
14,CN0102900000000,01,29,"Cleburne County, AL",Mar-19,5818,5597,221,3.8
15,CN0103100000000,01,31,"Coffee County, AL",Mar-19,21534,20804,730,3.4
16,CN0103300000000,01,33,"Colbert County, AL",Mar-19,23709,22724,985,4.2
17,CN0103500000000,01,35,"Conecuh County, AL",Mar-19,4544,4337,207,4.6
18,CN0103700000000,01,37,"Coosa County, AL",Mar-19,4554,4396,158,3.5
19,CN0103900000000,01,39,"Covington County, AL",Mar-19,15731,15112,619,3.9
20,CN0104100000000,01,41,"Crenshaw County, AL",Mar-19,6490,6264,226,3.5
21,CN0104300000000,01,43,"Cullman County, AL",Mar-19,38907,37714,1193,3.1
22,CN0104500000000,01,45,"Dale County, AL",Mar-19,20827,20064,763,3.7
23,CN0104700000000,01,47,"Dallas County, AL",Mar-19,14893,14028,865,5.8
24,CN0104900000000,01,49,"DeKalb County, AL",Mar-19,31078,30026,1052,3.4
25,CN0105100000000,01,51,"Elmore County, AL",Mar-19,37670,36540,1130,3.0
26,CN0105300000000,01,53,"Escambia County, AL",Mar-19,14846,14283,563,3.8
27,CN0105500000000,01,55,"Etowah County, AL",Mar-19,43087,41434,1653,3.8
28,CN0105700000000,01,57,"Fayette County, AL",Mar-19,6588,6356,232,3.5
29,CN0105900000000,01,59,"Franklin County, AL",Mar-19,14646,14173,473,3.2
30,CN0106100000000,01,61,"Geneva County, AL",Mar-19,11080,10705,375,3.4
31,CN0106300000000,01,63,"Greene County, AL",Mar-19,2854,2699,155,5.4
32,CN0106500000000,01,65,"Hale County, AL",Mar-19,6091,5838,253,4.2
33,CN0106700000000,01,67,"Henry County, AL",Mar-19,6982,6688,294,4.2
34,CN0106900000000,01,69,"Houston County, AL",Mar-19,46447,44834,1613,3.5
35,CN0107100000000,01,71,"Jackson County, AL",Mar-19,23817,22892,925,3.9
36,CN0107300000000,01,73,"Jefferson County, AL",Mar-19,318826,308404,10422,3.3
