fips,Total Cases,Total Deaths,Count
29119.0,952,0,82
30087.0,13,0,13
30085.0,455,0,88
30083.0,201,0,68
30081.0,581,0,86
30073.0,118,0,61
30067.0,574,0,80
30065.0,78,0,76
30059.0,81,0,81
30051.0,76,0,76
30049.0,1292,0,94
30047.0,392,0,80
30043.0,198,0,83
30041.0,82,0,82
30037.0,183,0,65
30035.0,371,0,73
30023.0,233,0,78
30017.0,12,0,3
30009.0,411,0,75
30007.0,322,0,88
30001.0,72,0,72
29229.0,752,0,80
29227.0,151,0,70
29225.0,975,0,77
30093.0,893,0,94
29219.0,1619,0,79
30095.0,74,0,67
31003.0,341,0,77
31089.0,43,0,43
31087.0,46,0,46
31083.0,7,0,7
31077.0,115,0,53
31073.0,688,0,79
31071.0,11,0,11
31069.0,52,0,14
31063.0,47,0,47
31061.0,313,0,66
31045.0,39,0,37
31039.0,1138,0,75
31035.0,982,0,66
31033.0,487,0,70
31031.0,72,0,72
31029.0,22,0,22
31027.0,305,0,49
31025.0,1588,0,95
31023.0,1609,0,59
31021.0,357,0,67
31015.0,14,0,14
31013.0,95,0,65
31011.0,177,0,42
31007.0,6,0,6
30107.0,52,0,52
31095.0,288,0,50
29217.0,408,0,67
29211.0,1713,0,43
29117.0,199,0,77
29109.0,273,0,43
29105.0,169,0,37
29103.0,10,0,5
29101.0,4508,0,86
29097.0,2265,0,86
29093.0,123,0,65
29091.0,470,0,74
29089.0,164,0,69
29087.0,64,0,61
29081.0,499,0,76
29079.0,99,0,23
29073.0,148,0,75
29067.0,35,0,15
29065.0,31,0,31
29063.0,299,0,75
29061.0,207,0,61
29059.0,180,0,69
29055.0,505,0,77
29053.0,539,0,82
29049.0,1049,0,84
29045.0,75,0,73
29043.0,1597,0,87
29121.0,219,0,77
29215.0,17,0,17
29123.0,148,0,70
29127.0,278,0,58
29209.0,296,0,77
29205.0,82,0,82
29203.0,80,0,19
29197.0,35,0,30
29185.0,135,0,67
29181.0,437,0,79
29179.0,154,0,77
29177.0,970,0,80
29175.0,624,0,82
29173.0,166,0,82
29171.0,8,0,8
29167.0,138,0,69
29161.0,189,0,70
29157.0,3552,0,84
29151.0,349,0,77
29149.0,119,0,69
29147.0,479,0,72
29141.0,408,0,77
29139.0,576,0,82
29137.0,47,0,19
29133.0,2467,0,54
29131.0,179,0,61
29129.0,51,0,15
29125.0,150,0,77
29041.0,392,0,80
31097.0,312,0,71
31101.0,82,0,44
38013.0,285,0,75
38011.0,69,0,69
38009.0,69,0,27
38005.0,61,0,39
38003.0,319,0,79
37199.0,524,0,43
